Magnitud,Latitude,Longitude
2.9,19.1,-98.6
2.8,19.1,-98.5
3.2,19.0,-99.0
3.2,19.0,-99.0
3.8,18.5,-98.7
3.1,19.8,-98.9
2.2,19.3,-99.1
2.3,19.3,-99.1
2.1,19.4,-99.1
2.3,19.4,-99.1
2.2,19.4,-99.2
3.1,19.4,-98.8
3.2,19.4,-99.0
3.6,19.0,-98.5
3.3,19.9,-99.0
3.7,18.9,-98.5
2.2,19.4,-99.2
2.0,19.3,-99.2
3.7,18.9,-98.5
3.3,18.9,-98.5
3.2,19.0,-98.6
3.3,19.1,-98.6
3.6,19.9,-98.9
2.9,19.1,-99.0
1.9,19.3,-99.2
1.9,19.4,-99.3
2.6,19.3,-99.1
3.0,19.1,-98.8
3.3,19.0,-98.6
2.1,19.4,-99.1
2.9,20.1,-99.1
2.1,19.4,-99.3
2.5,19.0,-98.6
2.2,19.2,-99.1
2.4,19.2,-99.1
3.0,20.1,-99.1
2.0,18.9,-98.5
2.0,18.9,-98.5
2.2,19.0,-98.6
3.4,18.9,-98.5
3.5,18.9,-98.5
2.9,20.0,-98.9
1.7,19.0,-98.6
2.7,19.0,-98.6
1.2,19.0,-98.6
2.0,19.4,-99.2
3.4,19.4,-99.2
2.1,19.4,-99.2
2.3,19.4,-99.2
2.2,19.4,-99.2
1.4,19.4,-99.2
2.6,20.1,-99.1
3.5,19.0,-98.6
3.4,19.0,-98.6
3.4,18.7,-99.4
1.9,19.2,-99.0
2.8,18.9,-98.6
2.4,19.0,-98.6
2.4,19.0,-98.6
2.6,19.1,-98.7
2.0,19.1,-98.8
3.3,19.0,-98.8
3.6,18.8,-99.3
3.2,19.2,-98.9
2.3,19.4,-99.1
3.3,19.0,-99.5
3.2,20.1,-99.2
3.9,19.2,-99.6
3.1,20.1,-99.1
1.8,19.3,-99.2
3.1,18.7,-99.6
3.0,19.2,-98.4
3.0,20.1,-99.0
2.6,19.1,-98.6
2.0,19.4,-99.2
2.9,19.5,-98.7
2.7,19.1,-98.6
2.1,19.0,-98.6
2.1,19.1,-98.6
3.4,19.1,-98.6
1.5,19.1,-98.6
1.5,19.1,-98.6
2.5,19.0,-98.5
2.8,20.1,-99.0
2.3,19.2,-99.2
1.9,19.4,-99.2
2.1,19.0,-98.6
2.2,19.1,-98.6
1.8,19.0,-98.6
2.4,19.3,-99.4
2.6,19.0,-98.7
3.4,19.0,-98.7
2.4,19.0,-98.6
1.9,19.4,-99.2
2.7,20.1,-99.0
3.7,18.8,-99.3
2.3,19.3,-99.5
3.7,19.3,-98.2
3.2,18.7,-99.0
3.0,20.1,-99.1
2.6,19.0,-98.6
1.7,19.4,-98.9
1.4,19.4,-98.9
1.9,19.6,-98.9
1.8,19.4,-98.9
1.9,19.4,-98.9
1.9,19.5,-98.8
1.8,19.4,-98.9
1.8,19.5,-98.9
1.8,19.0,-98.6
3.3,19.0,-98.6
4.1,19.0,-98.6
2.3,19.0,-98.6
2.8,19.1,-98.6
3.8,19.0,-98.6
3.1,19.1,-98.6
2.6,19.1,-98.6
2.6,18.5,-99.1
3.2,19.0,-98.6
3.5,18.7,-99.3
1.9,19.4,-99.2
3.8,18.9,-98.6
3.4,18.9,-98.6
3.1,18.9,-98.6
2.4,18.9,-99.1
3.0,19.0,-98.6
3.1,19.0,-98.6
3.7,18.9,-99.1
2.1,19.4,-99.4
2.0,19.0,-98.6
2.1,19.3,-99.0
3.0,19.0,-98.7
2.0,19.0,-98.6
2.6,19.8,-98.8
1.5,19.0,-98.6
3.1,18.8,-99.2
3.2,19.0,-98.6
3.7,19.0,-98.6
2.6,19.0,-98.6
2.4,19.3,-99.1
2.4,19.4,-99.1
2.6,19.3,-99.1
2.4,19.3,-99.1
1.8,19.3,-99.1
3.6,19.9,-98.7
1.5,19.3,-99.1
3.1,19.4,-98.9
2.2,19.4,-98.9
2.3,19.4,-98.9
2.4,19.4,-98.9
2.6,19.4,-99.0
2.8,19.4,-98.9
2.9,19.1,-99.0
3.2,20.0,-98.8
2.6,19.3,-99.2
2.7,19.0,-98.6
2.7,19.2,-98.5
2.4,19.4,-99.1
2.6,19.0,-98.6
1.7,19.4,-99.4
3.4,19.0,-98.6
1.3,19.5,-99.2
2.8,19.7,-99.2
3.0,19.8,-98.9
2.7,19.3,-99.2
3.4,19.7,-98.5
3.6,19.8,-98.5
3.5,19.8,-98.5
3.1,19.7,-98.5
2.7,19.7,-98.5
3.1,19.7,-98.5
3.0,19.7,-98.4
3.1,19.7,-98.5
3.4,19.6,-98.5
3.2,19.6,-98.5
3.2,19.6,-98.5
3.3,19.6,-98.6
3.6,19.8,-98.5
3.2,19.6,-98.6
2.2,19.0,-98.6
3.5,18.5,-99.5
2.4,19.1,-98.6
2.8,19.1,-98.6
1.7,19.3,-99.2
1.3,19.3,-99.2
2.5,19.0,-98.5
2.8,18.8,-99.0
1.9,19.4,-99.3
1.3,19.3,-99.2
3.3,18.9,-99.2
3.2,18.9,-99.2
3.8,18.7,-99.3
3.7,18.7,-99.1
3.1,18.8,-99.1
3.6,19.8,-98.4
3.5,18.8,-99.3
3.7,18.8,-99.3
2.3,19.0,-98.8
3.8,18.8,-99.2
3.6,18.8,-99.1
3.6,18.8,-99.3
3.3,18.6,-99.2
2.8,18.9,-98.7
3.3,18.7,-99.1
3.3,18.6,-99.3
3.5,19.0,-99.2
1.7,19.3,-99.3
3.5,19.0,-98.9
2.4,19.9,-98.8
3.4,18.6,-99.2
3.7,18.6,-99.2
2.9,18.9,-98.7
3.3,19.1,-98.7
3.3,18.6,-99.3
3.1,19.0,-98.8
3.7,18.6,-99.2
3.6,18.7,-99.3
2.9,19.1,-98.8
3.6,18.6,-99.3
1.7,19.3,-99.2
1.9,19.3,-99.2
3.5,18.8,-98.8
3.4,18.9,-98.7
1.8,19.3,-99.2
3.4,18.6,-99.2
3.6,18.6,-99.3
3.5,18.6,-99.2
3.6,18.6,-99.1
3.8,18.7,-98.4
3.5,18.7,-98.4
3.3,19.1,-98.7
3.2,19.8,-99.0
2.1,19.8,-99.1
2.4,19.9,-99.1
3.5,18.8,-99.2
2.5,19.2,-99.2
2.1,19.8,-99.1
2.7,19.9,-99.1
2.2,19.8,-99.1
2.3,19.8,-99.0
2.8,19.8,-99.0
2.0,19.8,-99.1
3.4,18.5,-99.1
2.2,19.8,-99.1
2.6,19.0,-98.5
3.5,19.1,-98.5
3.1,19.2,-98.4
3.6,18.6,-99.3
3.1,19.2,-98.5
1.5,19.4,-99.2
1.5,19.3,-99.2
1.3,19.3,-99.2
2.0,19.4,-99.2
3.8,18.7,-99.3
3.4,18.9,-99.4
3.4,18.8,-99.3
2.8,19.0,-99.0
3.1,20.1,-99.1
1.8,19.3,-99.3
3.4,18.6,-99.2
3.4,19.7,-98.6
3.6,19.7,-98.6
2.5,19.8,-99.8
3.7,19.1,-98.6
2.5,19.7,-99.0
3.0,19.0,-98.6
2.6,19.0,-98.7
3.4,19.2,-98.7
3.1,18.9,-99.2
3.4,18.7,-99.3
3.0,19.1,-98.6
2.6,19.1,-98.6
3.1,20.1,-99.0
2.8,19.3,-98.7
3.7,18.7,-99.4
2.4,18.9,-99.2
2.7,18.9,-98.5
3.1,19.1,-98.6
2.5,19.0,-98.6
2.3,19.0,-98.6
3.6,19.1,-98.8
3.1,18.9,-98.7
3.3,18.8,-99.2
3.7,19.4,-98.2
2.8,18.8,-98.6
2.4,18.8,-98.6
3.4,18.8,-98.6
2.7,19.0,-98.6
2.5,19.4,-99.2
3.2,18.9,-98.6
3.4,18.8,-99.2
3.7,18.8,-98.5
3.0,19.0,-98.4
2.7,19.0,-98.6
3.0,18.9,-98.5
2.8,19.2,-98.7
3.4,19.9,-99.1
3.8,18.8,-99.0
3.1,19.0,-98.6
3.5,18.5,-99.2
3.5,19.0,-98.6
3.6,18.7,-99.3
3.0,19.0,-98.6
2.6,19.0,-98.5
3.3,18.9,-98.8
3.6,18.9,-99.1
3.1,19.6,-99.3
2.7,19.2,-98.7
2.5,19.0,-98.6
3.5,19.0,-99.3
3.6,18.6,-99.2
3.7,18.6,-99.3
3.3,19.5,-99.1
3.3,18.6,-99.2
3.7,18.6,-99.3
3.7,18.6,-99.4
3.6,18.8,-99.2
3.6,18.9,-99.2
3.8,18.9,-99.2
3.1,18.9,-98.6
3.8,18.8,-99.2
3.5,18.9,-99.2
3.7,18.8,-99.2
3.4,18.8,-99.0
3.3,18.9,-99.2
2.9,19.0,-98.6
3.3,18.9,-99.2
3.5,18.9,-99.2
3.5,18.7,-99.3
3.3,19.2,-98.9
2.8,19.1,-98.6
3.7,18.8,-99.2
3.6,18.8,-98.7
3.8,19.2,-98.5
3.5,18.9,-98.8
2.6,19.8,-98.6
2.9,20.1,-99.0
2.1,19.5,-99.3
3.6,18.9,-98.5
2.9,18.9,-98.6
2.9,19.4,-99.2
2.8,19.0,-98.6
2.9,19.0,-98.6
3.1,19.1,-98.9
2.9,19.1,-98.6
3.0,19.4,-99.2
3.7,18.7,-99.4
3.5,18.6,-99.3
3.6,18.9,-98.6
3.7,18.9,-99.2
3.6,18.9,-98.6
3.7,18.8,-99.3
3.1,18.9,-98.7
3.9,18.5,-99.3
3.1,19.1,-98.6
3.4,19.0,-98.7
2.5,19.3,-99.2
3.7,19.3,-98.2
3.7,19.3,-98.2
2.7,19.4,-99.2
2.9,19.0,-98.6
3.7,18.6,-99.3
3.6,19.3,-98.2
3.6,19.3,-98.2
3.7,19.3,-98.2
2.6,19.9,-99.0
2.4,19.9,-99.0
3.4,19.0,-98.6
3.4,19.0,-98.5
3.5,18.8,-99.0
2.4,18.9,-98.7
3.7,19.1,-99.1
2.2,19.4,-99.2
1.7,19.4,-99.2
2.6,19.4,-99.2
3.7,19.0,-99.2
1.7,19.4,-99.2
2.2,19.4,-99.2
1.9,19.4,-99.2
2.2,19.4,-99.2
1.9,19.4,-99.2
2.4,19.4,-99.2
3.0,18.8,-98.5
2.9,19.2,-99.6
3.3,19.1,-99.7
3.4,18.8,-99.0
3.9,19.2,-99.6
2.5,19.1,-98.6
2.6,19.1,-98.6
2.6,18.9,-98.5
1.9,19.1,-98.7
3.3,20.0,-98.9
2.6,18.9,-98.5
3.7,18.9,-99.3
3.5,18.9,-99.2
2.1,19.0,-98.6
2.8,18.9,-98.5
1.6,19.0,-98.6
1.9,19.0,-98.7
2.1,19.4,-99.1
2.0,19.4,-99.1
1.5,19.4,-99.1
2.8,19.0,-98.8
2.9,19.0,-98.9
2.4,19.0,-98.7
3.6,18.8,-99.2
2.1,19.3,-99.2
3.0,19.0,-98.8
2.7,19.0,-98.8
2.4,19.4,-99.2
1.8,19.4,-99.2
3.6,19.8,-98.5
2.4,18.9,-98.7
2.0,19.0,-98.8
2.4,19.0,-98.8
3.7,18.6,-99.3
2.6,19.2,-98.9
2.7,19.4,-98.8
2.3,19.1,-98.5
3.8,18.7,-99.3
2.8,19.0,-98.8
3.1,18.9,-98.6
3.5,19.2,-98.3
3.1,18.8,-98.6
3.5,19.2,-98.9
2.8,18.9,-98.7
3.5,18.9,-98.6
2.8,18.9,-98.6
3.3,19.0,-98.6
3.6,19.0,-99.1
3.0,19.0,-98.7
3.7,19.5,-98.6
2.7,19.3,-99.3
3.0,18.9,-98.6
2.4,19.0,-98.6
2.8,18.9,-98.6
3.2,19.5,-99.3
2.9,19.4,-99.1
2.1,19.0,-98.6
3.4,19.0,-98.7
3.5,19.1,-98.2
2.6,19.0,-98.6
2.9,19.1,-98.8
3.5,19.7,-98.6
3.0,19.0,-98.6
1.9,19.0,-98.6
3.2,18.9,-98.6
3.0,19.0,-98.6
2.0,19.0,-98.6
3.6,18.8,-99.3
2.2,19.1,-98.6
2.2,19.4,-99.2
1.9,19.0,-98.7
2.9,19.0,-98.6
3.7,18.8,-99.2
2.5,19.0,-98.6
2.6,19.0,-98.6
2.6,19.0,-98.6
3.1,18.9,-98.6
2.4,18.9,-98.6
2.3,19.0,-98.6
2.3,19.0,-98.8
2.2,19.0,-98.7
1.4,19.3,-98.9
3.2,18.9,-98.6
3.0,19.0,-98.6
1.5,19.4,-99.1
1.9,19.0,-98.6
2.3,19.0,-98.6
3.7,18.8,-99.2
3.7,18.8,-99.2
3.8,18.9,-99.1
1.7,19.1,-98.6
3.2,19.1,-98.6
2.7,19.0,-98.6
2.8,19.1,-98.7
2.1,19.0,-98.6
2.7,18.9,-98.6
2.6,19.0,-98.7
3.6,19.7,-98.8
2.1,19.1,-98.6
3.5,19.0,-99.1
3.8,18.8,-99.4
3.3,18.6,-99.3
2.3,19.1,-98.7
2.6,19.0,-98.6
2.7,19.0,-98.6
1.9,19.4,-99.0
3.5,18.9,-98.9
3.0,19.1,-98.6
2.2,19.4,-99.2
2.3,19.0,-98.6
2.5,19.0,-98.6
2.7,19.0,-98.6
2.8,19.0,-98.6
3.7,18.9,-99.3
2.5,20.1,-98.8
1.8,19.0,-98.6
3.8,19.0,-98.5
2.9,18.9,-98.6
3.7,19.0,-99.2
3.5,18.8,-99.2
1.9,19.0,-98.5
1.9,19.0,-98.6
1.6,19.1,-98.6
1.7,19.4,-99.2
1.0,19.4,-99.2
1.0,19.2,-99.3
3.3,18.8,-99.2
3.1,19.0,-98.5
2.3,19.0,-98.6
2.4,19.7,-99.2
2.3,19.7,-99.2
2.4,19.0,-98.5
2.4,19.7,-99.2
2.2,19.0,-98.6
2.9,18.9,-98.7
3.1,19.0,-98.6
3.7,18.8,-99.2
3.1,19.1,-98.6
2.2,19.5,-99.5
2.3,19.4,-99.2
1.4,19.4,-99.2
2.1,19.0,-98.6
2.1,19.0,-98.6
3.7,18.9,-98.6
3.5,19.1,-98.8
3.5,18.9,-99.1
2.4,19.2,-98.9
2.0,19.4,-99.2
2.7,19.4,-99.2
2.3,19.4,-99.2
2.4,19.4,-99.2
2.4,19.4,-99.2
2.4,19.4,-99.2
2.1,19.4,-99.2
3.7,19.5,-98.2
2.5,19.4,-99.2
3.3,19.4,-99.2
2.6,19.4,-99.2
2.4,19.4,-99.2
2.2,19.4,-99.2
2.4,19.4,-99.2
